question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,single_diff,avg_diff,selected_diff,core_diff,final_diff,single_abs_error,avg_abs_error,selected_abs_error,core_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,core_gain_vs_avg,residual_gain_vs_core,final_gain_vs_avg,final_gain_vs_single,route,sequential_outcome,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action,score_calibration_applied,score_calibration_correction,score_calibration_reason,score_calibration_lookup
CO_4,ANS_CO_646,6.0,6.0,6.0,6.0,4.5,4.5,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,-1.5,-1.5,0.0,-1.5,-1.5,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.8165,0.55,0.5,0.5,0.566667,0.522222,0.477778,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_645,10.0,2.0,3.2,3.2,7.2,8.8,-8.0,-6.8,-6.8,-2.8,-1.2,8.0,6.8,6.8,2.8,1.2,1.2,0.0,5.6,4.0,1.6,5.6,6.8,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.0274,0.45,0.5125,0.625,0.575,0.570833,0.429167,accept_structured_raise,True,1.6041,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_652,16.0,18.75,14.3,14.3,14.3,14.3,2.75,-1.7,-1.7,-1.7,-1.7,2.75,1.7,1.7,1.7,1.7,1.05,0.0,0.0,0.0,0.0,0.0,1.05,NEG,defer_human,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,3.138,0.0,0.0625,1.0,0.333333,0.465278,0.534722,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_651,20.0,17.5,18.3,18.3,15.8,15.8,-2.5,-1.7,-1.7,-4.2,-4.2,2.5,1.7,1.7,4.2,4.2,0.8,0.0,-2.5,-2.5,0.0,-2.5,-1.7,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.1785,0.0,0.0,0.625,0.041667,0.222222,0.777778,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_653,8.0,4.0,5.5,5.5,3.12,3.12,-4.0,-2.5,-2.5,-4.88,-4.88,4.0,2.5,2.5,4.88,4.88,1.5,0.0,-2.38,-2.38,0.0,-2.38,-0.88,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.0801,0.27,0.3125,0.625,0.410417,0.449306,0.550694,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_659,20.0,14.5,16.0,16.0,16.0,16.0,-5.5,-4.0,-4.0,-4.0,-4.0,5.5,4.0,4.0,4.0,4.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,2.8577,0.0,0.0,1.0,0.158333,0.386111,0.613889,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_656,11.0,8.5,6.3,6.3,6.3,7.9,-2.5,-4.7,-4.7,-4.7,-3.1,2.5,4.7,4.7,4.7,3.1,-2.2,0.0,1.6,0.0,1.6,1.6,-0.6,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.5456,0.0,0.0,0.875,0.15,0.341667,0.658333,keep_baseline,True,1.6041,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_660,16.0,11.5,12.0,12.0,11.25,11.25,-4.5,-4.0,-4.0,-4.75,-4.75,4.5,4.0,4.0,4.75,4.75,0.5,0.0,-0.75,-0.75,0.0,-0.75,-0.25,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.7071,0.0,0.125,0.375,0.175,0.225,0.775,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_661,14.0,18.0,13.3,13.3,13.3,13.3,4.0,-0.7,-0.7,-0.7,-0.7,4.0,0.7,0.7,0.7,0.7,3.3,0.0,0.0,0.0,0.0,0.0,3.3,NEG,defer_human,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,3.6818,0.0,0.0,1.0,0.25,0.416667,0.583333,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_662,14.0,12.25,13.2,13.2,13.2,14.8,-1.75,-0.8,-0.8,-0.8,0.8,1.75,0.8,0.8,0.8,0.8,0.95,0.0,0.0,0.0,0.0,0.0,0.95,BND,defer_human,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9354,0.09,0.125,0.5625,0.225,0.304167,0.695833,keep_baseline,True,1.6041,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_663,8.0,1.0,0.7,0.7,0.7,0.7,-7.0,-7.3,-7.3,-7.3,-7.3,7.0,7.3,7.3,7.3,7.3,-0.3,0.0,0.0,0.0,0.0,0.0,-0.3,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.45,0.45,0.25,0.466667,0.388889,0.611111,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_664,15.0,8.5,7.2,7.2,5.2,5.2,-6.5,-7.8,-7.8,-9.8,-9.8,6.5,7.8,7.8,9.8,9.8,-1.3,0.0,-2.0,-2.0,0.0,-2.0,-3.3,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.0274,0.45,0.5,0.625,0.55,0.558333,0.441667,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_665,6.0,2.0,2.2,2.2,2.2,2.2,-4.0,-3.8,-3.8,-3.8,-3.8,4.0,3.8,3.8,3.8,3.8,0.2,0.0,0.0,0.0,0.0,0.0,0.2,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2357,0.09,0.125,0.125,0.233333,0.161111,0.838889,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_667,14.0,13.0,10.8,10.8,10.8,10.8,-1.0,-3.2,-3.2,-3.2,-3.2,1.0,3.2,3.2,3.2,3.2,-2.2,0.0,0.0,0.0,0.0,0.0,-2.2,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.6499,0.18,0.25,1.0,0.433333,0.561111,0.438889,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_666,15.0,6.5,6.8,6.8,6.8,6.8,-8.5,-8.2,-8.2,-8.2,-8.2,8.5,8.2,8.2,8.2,8.2,0.3,0.0,0.0,0.0,0.0,0.0,0.3,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.6499,0.09,0.1,1.0,0.233333,0.444444,0.555556,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_668,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_670,18.0,8.05,8.4,8.4,4.4,4.4,-9.95,-9.6,-9.6,-13.6,-13.6,9.95,9.6,9.6,13.6,13.6,0.35,0.0,-4.0,-4.0,0.0,-4.0,-3.65,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.5778,0.0,0.0,0.3125,0.075,0.129167,0.870833,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_672,19.0,18.0,17.2,17.2,15.7,15.7,-1.0,-1.8,-1.8,-3.3,-3.3,1.0,1.8,1.8,3.3,3.3,-0.8,0.0,-1.5,-1.5,0.0,-1.5,-2.3,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.8498,0.0,0.0,0.5,0.158333,0.219444,0.780556,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_673,20.0,20.0,19.7,19.7,18.7,18.7,0.0,-0.3,-0.3,-1.3,-1.3,0.0,0.3,0.3,1.3,1.3,-0.3,0.0,-1.0,-1.0,0.0,-1.0,-1.3,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.0,0.0625,0.25,0.083333,0.131944,0.868056,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_674,11.0,7.0,7.0,7.0,6.0,6.0,-4.0,-4.0,-4.0,-5.0,-5.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.55,0.6,0.0,0.6,0.4,0.6,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_675,20.0,17.5,15.4,15.4,18.65,18.65,-2.5,-4.6,-4.6,-1.35,-1.35,2.5,4.6,4.6,1.35,1.35,-2.1,0.0,3.25,3.25,0.0,3.25,1.15,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.4767,0.0,0.0,0.8125,0.191667,0.334722,0.665278,accept_structured_raise,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_678,9.0,6.0,6.0,6.0,4.0,4.0,-3.0,-3.0,-3.0,-5.0,-5.0,3.0,3.0,3.0,5.0,5.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.36,0.4,0.0,0.433333,0.277778,0.722222,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_679,14.0,12.5,12.3,12.3,12.3,12.3,-1.5,-1.7,-1.7,-1.7,-1.7,1.5,1.7,1.7,1.7,1.7,-0.2,0.0,0.0,0.0,0.0,0.0,-0.2,NEG,defer_human,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.4337,0.18,0.25,0.875,0.333333,0.486111,0.513889,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_683,15.0,9.0,9.3,9.3,9.3,9.3,-6.0,-5.7,-5.7,-5.7,-5.7,6.0,5.7,5.7,5.7,5.7,0.3,0.0,0.0,0.0,0.0,0.0,0.3,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,2.0548,0.0,0.125,1.0,0.354167,0.493056,0.506944,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_681,17.0,20.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_685,8.0,2.5,2.5,2.5,2.5,2.5,-5.5,-5.5,-5.5,-5.5,-5.5,5.5,5.5,5.5,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.8165,0.45,0.45,0.5,0.508333,0.486111,0.513889,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_688,7.0,5.5,5.3,5.3,5.3,5.3,-1.5,-1.7,-1.7,-1.7,-1.7,1.5,1.7,1.7,1.7,1.7,-0.2,0.0,0.0,0.0,0.0,0.0,-0.2,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2357,0.45,0.5,0.125,0.533333,0.386111,0.613889,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_689,18.0,17.0,16.7,16.7,17.7,17.7,-1.0,-1.3,-1.3,-0.3,-0.3,1.0,1.3,1.3,0.3,0.3,-0.3,0.0,1.0,1.0,0.0,1.0,0.7,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.0,0.0,0.25,0.033333,0.094444,0.905556,accept_structured_raise,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_695,19.0,16.0,14.0,14.0,14.0,14.0,-3.0,-5.0,-5.0,-5.0,-5.0,3.0,5.0,5.0,5.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.8708,0.0,0.0,1.0,0.125,0.375,0.625,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_692,15.0,16.5,17.3,17.3,17.3,17.3,1.5,2.3,2.3,2.3,2.3,1.5,2.3,2.3,2.3,2.3,-0.8,0.0,0.0,0.0,0.0,0.0,-0.8,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.6236,0.0,0.0625,0.375,0.125,0.1875,0.8125,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_697,14.0,10.0,11.8,11.8,11.8,11.8,-4.0,-2.2,-2.2,-2.2,-2.2,4.0,2.2,2.2,2.2,2.2,1.8,0.0,0.0,0.0,0.0,0.0,1.8,BND,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.2748,0.27,0.35,0.75,0.425,0.508333,0.491667,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_698,11.0,3.0,5.2,5.2,5.2,5.2,-8.0,-5.8,-5.8,-5.8,-5.8,8.0,5.8,5.8,5.8,5.8,2.2,0.0,0.0,0.0,0.0,0.0,2.2,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.8409,0.18,0.2,1.0,0.275,0.491667,0.508333,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,1.0,1.0,0.0,1.0,0.666667,0.333333,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_700,16.0,10.5,8.0,8.0,8.0,8.0,-5.5,-8.0,-8.0,-8.0,-8.0,5.5,8.0,8.0,8.0,8.0,-2.5,0.0,0.0,0.0,0.0,0.0,-2.5,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.8708,0.0,0.0,1.0,0.208333,0.402778,0.597222,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_704,5.0,1.0,1.0,1.0,0.0,0.0,-4.0,-4.0,-4.0,-5.0,-5.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.82,0.9,0.0,0.9,0.6,0.4,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_708,9.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.45,0.5,0.0,0.5,0.333333,0.666667,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_703,11.0,4.0,5.6,5.6,5.6,5.6,-7.0,-5.4,-5.4,-5.4,-5.4,7.0,5.4,5.4,5.4,5.4,1.6,0.0,0.0,0.0,0.0,0.0,1.6,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.2304,0.0,0.0,0.75,0.208333,0.319444,0.680556,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_714,16.0,10.5,12.2,12.2,12.2,12.2,-5.5,-3.8,-3.8,-3.8,-3.8,5.5,3.8,3.8,3.8,3.8,1.7,0.0,0.0,0.0,0.0,0.0,1.7,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.4337,0.18,0.25,0.875,0.383333,0.502778,0.497222,,False,0.0,not_run_for_neg_route,
