question_id,student_id,diagnostic_group,baseline_error_direction,teacher_score,baseline_score,trial_score,max_score,safety_tolerance,baseline_abs_error,trial_abs_error,trial_route,trial_membership,U_E,U_S,U_R,U_R_consensus,U_R_evidence,U_R_undercredit,result_correctness_signal,result_strong_signal,method_evidence_signal,lenient_undercredit_signal,stable_undercredit_review,result_anchored_undercredit_review,unsupported_match_points_ratio,effective_unsupported_match_points_ratio,unsupported_high_score_risk,bare_answer_risk,core_support_signal,core_contradiction_ratio,evidence_supported_answer,boundary_action,boundary_gate_reason,sequential_outcome,requires_human_review
CO_12,ANS_CO_1334,bnd_auto_resolved,undercredit,16.0,6.8,6.8,25.0,2.5,9.2,9.2,BND,0.510311,0.16,0.5,0.333333,0.333333,0.0,0.0,0.75,0.0,0.6,0.2889,True,False,0.0,0.0,0.0,0.3,0.375,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_5,ANS_CO_260,bnd_auto_resolved,undercredit,8.0,0.4,0.4,15.0,1.5,7.6,7.6,BND,0.517317,0.333333,0.416667,0.388889,0.388889,0.0,0.0,0.0,0.0,0.1667,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_11,ANS_CO_1254,bnd_auto_resolved,undercredit,15.0,8.2,9.7,15.0,1.5,6.8,5.3,BND,0.378159,0.45,1.0,0.638889,0.638889,0.3684,0.0,0.3636,0.3636,0.375,0.0487,False,False,0.2333,0.2333,0.1276,0.2273,0.4737,0.3684,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_12,ANS_CO_1400,bnd_auto_resolved,undercredit,18.0,11.3,15.3,25.0,2.5,6.7,2.7,BND,0.504373,0.0,0.6,0.213333,0.213333,0.0,0.0,1.0,0.0,1.0,0.4682,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_13,ANS_CO_1588,bnd_auto_resolved,undercredit,15.0,9.2,9.2,20.0,2.0,5.8,5.8,BND,0.430732,0.0,1.0,0.116667,0.116667,0.0,0.0,1.0,0.0,1.0,0.4588,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_13,ANS_CO_1598,bnd_auto_resolved,undercredit,18.0,12.3,12.3,20.0,2.0,5.7,5.7,BND,0.424521,0.0,1.0,0.2,0.2,0.0,0.0,0.5333,0.5333,0.65,0.0958,False,False,0.0,0.0,0.0,0.1867,0.5333,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ISC_5,ANS_ISC_57,bnd_auto_resolved,undercredit,6.0,0.3,1.05,6.0,0.6,5.7,4.95,BND,0.44602,0.25,0.833333,0.25,0.25,0.0,0.0,0.5,0.0,0.5,0.1941,True,False,0.0,0.0,0.0,0.25,0.25,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_10,ANS_CO_1085,bnd_auto_resolved,undercredit,6.0,0.7,0.7,15.0,1.5,5.3,5.3,BND,0.493161,0.733333,0.333333,0.755556,0.755556,0.0,0.0,0.5,0.5,0.1111,0.0525,False,False,0.0,0.0,0.0,0.4444,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CPL_7,ANS_CPL_388,bnd_auto_resolved,undercredit,10.0,5.2,5.2,15.0,1.5,4.8,4.8,BND,0.456296,0.0,0.833333,0.222222,0.222222,0.0,0.0,1.0,0.0,1.0,0.5922,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_1,ANS_CO_134,bnd_auto_resolved,undercredit,5.0,0.3,0.3,5.0,0.5,4.7,4.7,BND,0.40016,0.3,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
