question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_diff,avg_diff,selected_diff,final_diff,single_abs_error,avg_abs_error,selected_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,final_gain_vs_single,route,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action,score_calibration_applied,score_calibration_correction,score_calibration_reason,score_calibration_lookup
CO_1,ANS_CO_02,5.0,4.25,4.3,4.3,4.9,-0.75,-0.7,-0.7,-0.1,0.75,0.7,0.7,0.1,0.05,0.0,0.6,0.6,0.65,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.1179,0.0,0.0,0.25,0.0,0.083333,0.916667,,True,0.5952,validation_route_score_band_correction,global:*
CO_1,ANS_CO_03,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_04,2.0,3.5,3.5,3.5,4.1,1.5,1.5,1.5,2.1,1.5,1.5,1.5,2.1,0.0,0.0,-0.6,-0.6,-0.6,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_05,5.0,4.55,4.5,4.5,5.0,-0.45,-0.5,-0.5,0.0,0.45,0.5,0.5,0.0,-0.05,0.0,0.5,0.5,0.45,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,True,0.5,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_06,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,NEG,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,not_run_for_neg_route,
CO_1,ANS_CO_07,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_01,5.0,3.5,4.0,4.0,4.6,-1.5,-1.0,-1.0,-0.4,1.5,1.0,1.0,0.4,0.5,0.0,0.6,0.6,1.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.7071,0.0,0.0,1.0,0.0,0.333333,0.666667,reject_raise,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_08,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEG,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,,False,0.0,not_run_for_neg_route,
CO_1,ANS_CO_10,5.0,3.5,3.5,3.5,4.1,-1.5,-1.5,-1.5,-0.9,1.5,1.5,1.5,0.9,0.0,0.0,0.6,0.6,0.6,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
